Zip,Account Name,Number of Providers,Primary Specialty,fulladdress,Latitude,Longitude
22101,Allergy and Asthma Associates PC,3,Allergy & Immunology,"1360 Beverly Road, MC LEAN VA, 22101-3621",38.936518,-77.178617
20190,Allergy and Asthma Care Center,1,Allergy & Immunology,"1860 Town Center Drive, RESTON VA, 20190-3219",38.961769,-77.366057
20603,Alexandria & Clinton Allergy Associates,2,Allergy & Immunology,"11350 Pembrooke Square, WALDORF MD, 20603-4809",38.617819,-76.916023
20850,Advanced Surgery PC,2,General Surgery,"9707 Medical Center Drive, ROCKVILLE MD, 20850-6342",39.099636,-77.195901
22030,"Terry Allen, MD & Scott Forrest, MD PLLC",2,Obstetrics & Gynecology,"10721 Main St Suite 1300, FAIRFAX VA, 22030-6913",38.849145,-77.31628
22003,Annandale Family Medicine,5,Family Medicine,"7617 Little River Turnpike, ANNANDALE VA, 22003-2603",38.831938,-77.209718
20155,All Female OBGYN LLC,1,Obstetrics & Gynecology,"14535 John Marshall Highway, GAINESVILLE VA, 20155-4024",38.805889,-77.62585
22303,Capital HealthCare PC,11,Internal Medicine,"6020 Richmond Hwy, ALEXANDRIA VA, 22303-2157",38.78661,-77.069431
22205,Atlantic Medical Associates,1,Family Medicine,"1701 N. George Mason Dr., ARLINGTON VA, 22205-3698",38.889595,-77.128166
20910,A M Sheikh & Associates,1,Obstetrics & Gynecology,"1500 Forest Glen Road, SILVER SPRING MD, 20910-1460",39.014284,-77.036007
20910,Associates in Otolaryngology,5,Otolaryngology,"10730 Main Street, FAIRFAX VA, 22030-3781",38.849713,-77.315381
22030,Antietam Pediatric and Adolescent Care,8,Pediatrics,"1161 Omega Drive, HAGERSTOWN MD, 21740-5574",39.638351,-77.691724
22030,Arlington Primary Care,6,Internal Medicine,"1635 N George Mason Dr, ARLINGTON VA, 22205-3601",38.888665,-77.127688
22030,"Jan Bachowski, MD",1,Internal Medicine,"11119 Rockville Pike, ROCKVILLE MD, 20852-3142",39.039064,-77.108224
21740,Bayside Pediatrics,6,Pediatrics,"2001 MEDICAL PARKWAY, ANNAPOLIS MD, 21401-3280",38.990144,-76.533979
22205,"Richard Bernstein, MD",1,Internal Medicine,"133 Defense Highway, ANNAPOLIS MD, 21401-7015",38.98775,-76.5528
20852,Battlefield Family Practice Inc,1,Family Medicine,"9625 Surveyor Ct Ste 100, MANASSAS VA, 20110-4408",38.765482,-77.48636
21401,Brandermill Pediatric and Adolescent Medicine PC,1,Pediatrics,"13710 St Francis Blvd, MIDLOTHIAN VA, 23114-3267",37.460988,-77.655426
21401,Capital Cardiology Consultants,5,Cardiovascular Disease,"106 Irving Street NW, WASHINGTON DC, 20010-2964",38.929367,-77.014394
20110,Cardiac Care Associates,8,Cardiovascular Disease,"1830 Town Center Drive, RESTON VA, 20190-3239",38.963183,-77.36495
23114,Chevy Chase Pulmonary Associates,4,Pulmonary Disease,"5215 Loughboro Road #400, WASHINGTON DC, 20016-2618",38.936929,-77.107493
20010,Centreville Medical Practice,1,Family Medicine,"5715 Centre Square Dr, CENTREVILLE VA, 20120-1916",38.840036,-77.429742
20190,Capitol Medical Group,11,Pediatrics,"5255 LOUGHBORO RD NW, WASHINGTON DC, 20016-2633",38.936221,-77.109239
20016,CN Internal Medicine,4,Internal Medicine,"330 N Washington Street, FALLS CHURCH VA, 22046-3431",38.884077,-77.16746
20120,Coastal Gynecology,3,Obstetrics & Gynecology,"1060 FIRST COLONIAL ROAD, VIRGINIA BEACH VA, 23454-3002",36.818048,-76.030783
20016,David K Cohen Md,1,Obstetrics & Gynecology,"11800 Astoria Blvd, HOUSTON TX, 77089-6041",29.58346,-95.206951
22046,"Patrick Correnty, MD LLC",2,Internal Medicine,"1625 N George Mason Dr, ARLINGTON VA, 22205-3698",38.888584,-77.126929
23454,Crossen Family Practice PC,1,Family Medicine,"1503 Michaels Rd, RICHMOND VA, 23229-4822",37.602586,-77.550418
23454,Cullen Umosella Cullen & Cullen,4,Family Medicine,"7625 Wisconsin Ave, BETHESDA MD, 20814-6564",38.986575,-77.094326
23454,Diabetes and Endocrine Associates PC,2,"Endocrinology, Diabetes & Metabolism","2501 Parkers Lane, ALEXANDRIA VA, 22306-3169",38.739856,-77.076275
77089,Diabetes & Endocrine Care Associates PLLC,1,"Endocrinology, Diabetes & Metabolism","103 West Broad Street, FALLS CHURCH VA, 22046-4231",38.882316,-77.171694
77089,"International Spine, Pain & Performance Center, PLLC",1,Pain Medicine,"2120 L Street NW, WASHINGTON DC, 20037-9992",38.903418,-77.047605
77089,Dominion Foot and Ankle Consultants,2,Podiatry,"3025 Hamaker CT Suite #340, FAIRFAX VA, 22031-2237",38.86711,-77.236431
22205,Dominion Family Healthcare,1,Family Medicine,"1860 Town Center Drive Suite 310, RESTON VA, 20190-5896",38.961769,-77.366057
23229,"Richard Di Gioia, MD PC",1,Internal Medicine,"1145 19th Street NW, WASHINGTON DC, 20036-3711",38.905054,-77.04294
20814,David M Cotlar Md,1,Pediatrics,"6621 Fannin St, HOUSTON TX, 77030-2358",29.707652,-95.401215
22306,"Dr. Elaine Lim, MD",1,Obstetrics & Gynecology,"10314A Baltimore National Pike, ELLICOTT CITY MD, 21042-2128",39.28086,-76.867629
22046,The Endocrinology Group PLLC,5,"Endocrinology, Diabetes & Metabolism","1625 N George Mason Drive #375, ARLINGTON VA, 22205-3687",38.888584,-77.126929
20037,ENT & Facial Plastic Surgery,2,Otolaryngology,"1860 Town Center Drive, RESTON VA, 20190-5896",38.961769,-77.366057
22031,Elden Street Pediatrics,1,Pediatrics,"110 Elden Street, HERNDON VA, 20170-4891",38.96757,-77.365158
20190,Fairfax Allergy Asthma & Sinus Clinic,3,Allergy & Immunology,"1952 Opitz Blvd, WOODBRIDGE VA, 22191-3304",38.635154,-77.274603
20036,Frederick County Pediatrics,3,Pediatrics,"11717 Old National Pike, NEW MARKET MD, 21774-6119",39.382987,-77.277011
77030,Fairfax Gynecology Group,3,Obstetrics & Gynecology,"3300 Gallows Road, FALLS CHURCH VA, 22042-3307",38.858185,-77.226424
77030,First Georgia Physician Group,18,Internal Medicine,"101 Yorktown Drive, FAYETTEVILLE GA, 30214-1578",33.450062,-84.479186
21042,First Georgia Physician Group Pediatrics,12,Pediatrics,"101 Yorktown Drive, FAYETTEVILLE GA, 30214-1578",33.450062,-84.479186
22205,Family Orthopaedics and Sports Medicine of Northern Virginia,1,Orthopaedics,"12825 MINNIEVILLE ROAD, WOODBRIDGE VA, 22192-3602",38.672835,-77.278105
20190,"Henry B. Fox, MD",1,Hematology/Oncology,"2440 M St NW, WASHINGTON DC, 20037-1474",38.905066,-77.052676
20170,Glob'all Primary Care,3,Internal Medicine," 6521 Arlington Blvd, FALLS CHURCH VA, 22042-3009",38.870274,-77.167619
22191,"Atiya H. Gopalani, MD, FACOG, PA",1,Obstetrics & Gynecology,"18111 Prince Philip Dr, OLNEY MD, 20832-1505",39.153646,-77.056314
