Genre,Age,User Count
Rock,0-18,1211
Hip-Hop,0-18,1823
Classical,0-18,1729
Country,0-18,2938
Pop,0-18,4938
Jazz,0-18,700
Latin,0-18,500
Rock,19-32,3402
Hip-Hop,19-32,3680
Classical,19-32,2408
Country,19-32,4020
Pop,19-32,5001
Jazz,19-32,3402
Latin,19-32,1284
Rock,33-48,7521
Hip-Hop,33-48,3409
Classical,33-48,5409
Country,33-48,2301
Pop,33-48,3876
Jazz,33-48,5678
Latin,33-48,2374
Rock,49+,1420
Hip-Hop,49+,820
Classical,49+,2222
Country,49+,2874
Pop,49+,1257
Jazz,49+,2349
Latin,49+,1428
